Slideshow,Diaschau,
Sort Order,Sortierung,
Stock Manager,Lagerleiter,
Stock UOM,Lagermaßeinheit,
Stock User,Lager-Benutzer,
System Manager,System-Manager,
Tax Category,Steuerkategorie,
Thumbnail,Thumbnail,
Title,Bezeichnung,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
User,Nutzer,
User Forum,Anwenderforum,
Variant Of,Variante von,
View,Anzeigen,
View Website,Webseite anzeigen,
Warehouse,Lager,
Website Content,Websiten Inhalt,
Website Description,Webseiten-Beschreibung,
Website Image,Website-Image,
Website Item,Webseiten-Artikel,
Website Item Groups,Webseiten-Artikelgruppen,
Website Manager,Webseiten-Administrator,
Website Settings,Webseiten-Einstellungen,
Website Specifications,Webseiten-Spezifikationen,
Website Warehouse,Webseiten-Lager,
Weightage,Gewichtung,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Sie können in diesem Feld ein beliebiges gültiges Bootstrap 4-Markup verwenden. Es wird auf Ihrer Artikelseite angezeigt.,
All Products,Shop,
Shop,Shop,
Stok Durumu,Bestandsstatus,
Satış Siparişleri,Verkaufsaufträge,
Faturalar,Rechnungen,
Malzeme Talepleri,Materialanfragen,
Stok Hareketleri,Lagerbewegungen,
Projects,Projekte,
Request for Quotations,Angebotsanfragen,
Supplier Quotation,Lieferantenangebot,
Purchase Orders,Bestellungen,
Purchase Invoices,Einkaufsrechnungen,
Quotations,Angebote,
Orders,Bestellungen,
Invoices,Rechnungen,
Shipments,Sendungen,
Issues,Probleme,
Addresses,Adressen,
Timesheets,Stundenzettel,
Newsletter,Newsletter,
Material Request,Materialanfrage,
Home,Startseite,
Welcome to North Medical Germany,Willkommen bei North Medical Germany,
Your trusted partner for medical supplies and healthcare products,Ihr vertrauenswürdiger Partner für medizinische Versorgungsgüter und Gesundheitsprodukte,
Shop Now,Jetzt einkaufen,
Learn More,Mehr erfahren,
Why Choose North Medical?,Warum North Medical?,
Quality products and reliable service,Qualitätsprodukte und zuverlässiger Service,
Quality Products,Qualitätsprodukte,
Certified medical supplies and healthcare products,Zertifizierte medizinische Versorgungsgüter und Gesundheitsprodukte,
Fast Delivery,Schnelle Lieferung,
Quick and reliable shipping across Germany,Schneller und zuverlässiger Versand in ganz Deutschland,
Expert Support,Expertenunterstützung,
Professional customer service and support,Professioneller Kundenservice und Support,
Browse our wide range of medical products,Durchsuchen Sie unser breites Sortiment an medizinischen Produkten,
Medical Gloves,Medizinische Handschuhe,
High-quality disposable gloves,Hochwertige Einweghandschuhe,
View Products,Produkte anzeigen,
Cleaning Products,Reinigungsprodukte,
Surface cleaning and disinfection,Oberflächenreinigung und Desinfektion,
Accessories,Zubehör,
Cleaning product accessories,Reinigungsproduktzubehör,
About North Medical Germany,Über North Medical Germany,
Medzenith GmbH - Your reliable partner for medical supplies,Medzenith GmbH - Ihr zuverlässiger Partner für medizinische Versorgungsgüter,
We provide high-quality medical products and healthcare supplies to healthcare facilities, dealers, and businesses across Germany.,Wir liefern hochwertige medizinische Produkte und Gesundheitsversorgungsgüter an Gesundheitseinrichtungen, Händler und Unternehmen in ganz Deutschland.,
Ready to Get Started?,Bereit loszulegen?,
Browse our catalog and find the products you need,Durchsuchen Sie unseren Katalog und finden Sie die Produkte, die Sie benötigen,
Explore Products,Produkte erkunden,
Selected Products,Ausgewählte Produkte,
Top selected products for you,Top ausgewählte Produkte für Sie,
View Details,Details anzeigen,
Mühlenweg 131-139, 22844 Norderstedt,Mühlenweg 131-139, 22844 Norderstedt,
Search,Suche,
Search for Products,Produkte suchen,
Sort By,Sortieren nach,
Show,Anzeigen,
Show:,Anzeigen:,
Default,Standard,
Clear All,Alle löschen,
Clear,Löschen,
Price Range,Preisspanne,
Apply,Anwenden,
Min,Min,
Max,Max,
Product Groups,Produktgruppen,
Filters,Filter,
"Main page","Hauptseite"
"Products","Produkte"
ÜRÜN GRUPLARI,Produktgruppen,
ÜRÜN KATEGORİLERİ,Produktkategorien,
"News","Nachrichten"
"contact","Kontakt"
Contact,Kontakt,
Name: A to Z,Name: A bis Z,
Name: Z to A,Name: Z bis A,
List View,Listenansicht,
Grid View,Rasteransicht,
Prev,Zurück,
Next,Weiter,
Discounts,Rabatte,
Filters,Filter,
Clear All,Alle löschen,
General,Allgemein,
Disposable Gloves,Einweghandschuhe,
Cleaning Accessories,Reinigungszubehör,
Surface Cleaning,Oberflächenreinigung,
Wipes,Tücher,
Disinfection,Desinfektion,
Skin & Hands,Haut & Hände,
All-Purpose Cleaner,Allzweckreiniger,
Shower Gel,Duschgel,
Cleaning,Reinigung,
Hygiene Products,Hygieneprodukte,
Personal Protective Equipment,Persönliche Schutzausrüstung,
Previous,Zurück,
Latest news from the medical sector,Neueste Nachrichten aus dem Medizinsektor,
No news available at the moment.,Derzeit sind keine Nachrichten verfügbar.,
Partners,Partner,
Browse by category,Nach Kategorie durchsuchen,
Show all blogs,Alle Blogs anzeigen,
Nothing to show,Nichts anzuzeigen,
Load More,Mehr laden,
Featured,Empfohlen,
min read,Min. Lesezeit,
Posts filed under,Beiträge unter,
Posts by,Beiträge von,
Filtered by,Gefiltert nach,
No comments yet,Noch keine Kommentare,
1 comment,1 Kommentar,
comments,Kommentare,
Comments disabled,Kommentare deaktiviert,
Comments enabled,Kommentare aktiviert,
Contact Us,Kontakt,
Your email address,Ihre E-Mail-Adresse,
Send,Senden,
Message Sent,Nachricht gesendet,
Thank you for your message,Vielen Dank für Ihre Nachricht,
Please enter both your email and message so that we can get back to you. Thanks!,Bitte geben Sie sowohl Ihre E-Mail-Adresse als auch Ihre Nachricht ein, damit wir Ihnen antworten können. Vielen Dank!,
You seem to have written your name instead of your email. Please enter a valid email address so that we can get back.,Sie scheinen Ihren Namen anstelle Ihrer E-Mail-Adresse eingegeben zu haben. Bitte geben Sie eine gültige E-Mail-Adresse ein, damit wir Ihnen antworten können.,
We've received your query!,Wir haben Ihre Anfrage erhalten!,
New Message from Website Contact Page,Neue Nachricht von der Website-Kontaktseite,
Thank you for reaching out to us. We will get back to you at the earliest.,Vielen Dank, dass Sie sich an uns gewandt haben. Wir werden uns so schnell wie möglich bei Ihnen melden.,
Your query:,Ihre Anfrage:,
Sales,Verkauf,
Support,Support,
