Product Details,Ürün Detayları,
Full Description,Tam Açıklama,
Recommended,Önerilen,
Seçiniz,Seçiniz,
Price range for all variants,Tüm varyantlar için fiyat aralığı,
Filters,Filtreler,
"Main page","Ana Sayfa"
"Products","Ürünler"
ÜRÜN GRUPLARI,Ürün Grupları,
ÜRÜN KATEGORİLERİ,Ürün Kategorileri,
"News","Haberler"
"contact","İletişim"
Contact,İletişim,
Name: A to Z,İsim: A'dan Z'ye,
Name: Z to A,İsim: Z'den A'ya,
List View,Liste Görünümü,
Grid View,Izgara Görünümü,
Prev,Önceki,
Next,Sonraki,
Discounts,İndirimler,
Filters,Filtreler,
Clear All,Tümünü Temizle,
General,Genel,
Disposable Gloves,Tek Kullanımlık Eldivenler,
Cleaning Accessories,Temizlik Aksesuarları,
Surface Cleaning,Yüzey Temizliği,
Wipes,Mendiller,
Disinfection,Dezenfeksiyon,
Skin & Hands,Cilt ve Eller,
All-Purpose Cleaner,Genel Amaçlı Temizleyici,
Shower Gel,Duş Jeli,
Cleaning,Temizlik,
Hygiene Products,Hijyen Ürünleri,
Personal Protective Equipment,Kişisel Koruyucu Ekipman,
Previous,Önceki,
Latest news from the medical sector,Tıp sektöründen son haberler,
No news available at the moment.,Şu anda haber bulunmamaktadır.,
Partners,Ortaklar,
Browse by category,Kategoriye göre gözat,
Show all blogs,Tüm blogları göster,
Nothing to show,Gösterilecek bir şey yok,
Load More,Daha fazla yükle,
Featured,Öne çıkan,
min read,dakika okuma,
Posts filed under,Altında dosyalanan gönderiler,
Posts by,Tarafından gönderiler,
Filtered by,Filtrelenmiş,
No comments yet,Henüz yorum yok,
1 comment,1 yorum,
comments,yorum,
Comments disabled,Yorumlar devre dışı,
Comments enabled,Yorumlar etkin,
Contact Us,Bize Ulaşın,
Your email address,E-posta Adresiniz,
Send,Gönder,
Message Sent,Mesaj Gönderildi,
Thank you for your message,Mesajınız için teşekkürler,
Please enter both your email and message so that we can get back to you. Thanks!,Lütfen size geri dönebilmemiz için hem e-posta adresinizi hem de mesajınızı girin. Teşekkürler!,
You seem to have written your name instead of your email. Please enter a valid email address so that we can get back.,E-posta adresiniz yerine adınızı yazmış gibi görünüyorsunuz. Lütfen size geri dönebilmemiz için geçerli bir e-posta adresi girin.,
We've received your query!,Sorgunuzu aldık!,
New Message from Website Contact Page,Web Sitesi İletişim Sayfasından Yeni Mesaj,
Thank you for reaching out to us. We will get back to you at the earliest.,Bize ulaştığınız için teşekkürler. En kısa sürede size geri döneceğiz.,
Your query:,Sorgunuz:,
Sales,Satış,
Support,Destek,
